Company Name,Job Title,Location,Skills Required,Tags,match
Skill-Lync,Inside Sales Specialist,Hyderabad,English Proficiency (Spoken)  English Proficiency (Written)  Sales ,inside sales specialist english proficiency (spoken) english proficiency (written) sales,1.0
Dendrite.ai,React/NodeJS Web/UI Development,Work From Home,CSS  Docker  Git  HTML  JavaScript  Node.js  ReactJS  SQL  TypeScript ,react nodejs web ui development css docker git html javascript node.js reactjs sql typescript,0.0
Resshu Connect Private Limited,React Native Intern,Work From Home,JavaScript  React Native ,react native intern javascript react native,0.92
Paisabazaar,Frontend Development,Gurgaon,CSS  HTML  ReactJS ,frontend development css html reactjs,0.92
IIT Bombay,Machine Learning,Work From Home,Computer Vision  Deep Learning  Machine Learning  Mathematics  Natural Language Processing (NLP)  REST API ,machine learning computer vision deep learning machine learning mathematics natural language processing (nlp) rest api,1.0
IIT Bombay,C++ Development (QT Creator),Work From Home,C++ Programming  C Programming  Data Structures ,c++ development (qt creator) c++ programming c programming data structures,1.0
Actolap Solutions India Private Limited,Product Management,Noida,English Proficiency (Spoken)  English Proficiency (Written)  MS-Excel  MS-Office  MS-PowerPoint  MS-Word  Product Lifecycle Management(PLM)  Product Management ,product management english proficiency (spoken) english proficiency (written) ms-excel ms-office ms-powerpoint ms-word product lifecycle management(plm) product management,1.0
Royal Enfield,Embedded Systems,Chennai,Arduino  C Programming  Embedded Systems  MATLAB  Python ,embedded systems arduino c programming embedded systems matlab python,1.0
Viacom India LLP,Web Development,Gurgaon,Amazon Web Server (AWS)  Bootstrap  CSS  Django  Express.js  HTML  JavaScript  jQuery  MySQL  Node.js  PHP  ReactJS  WordPress ,web development amazon web server (aws) bootstrap css django express.js html javascript jquery mysql node.js php reactjs wordpress,0.61
IIT Bombay,Web Development (Django),Work From Home,Bootstrap  Cloud Computing  CSS  Django  HTML  JavaScript  Nginx  PostgreSQL  Postman  Python ,web development (django) bootstrap cloud computing css django html javascript nginx postgresql postman python,0.92
The Crafty Talk,Mechanical Engineering,Work From Home,ANSYS  AutoCAD  Autodesk Fusion 360  Catia  MS-Office  SolidWorks ,mechanical engineering ansys autocad autodesk fusion 360 catia ms-office solidworks,1.0
The Crafty Talk,Blockchain Development,Work From Home,Blockchain  C++ Programming  Ethereum  Hyperledger  Java  JavaScript  Node.js  Python  ReactJS ,blockchain development blockchain c++ programming ethereum hyperledger java javascript node.js python reactjs,0.61
Resolute AI Software,Software Testing,Work From Home,Database Testing  GUI Testing  Manual Testing  Software Testing ,software testing database testing gui testing manual testing software testing,1.0
Endeavor Academy,Mechanical Engineering - Subject Matter Expert (Night Shift),Work From Home,AutoCAD  LaTeX ,mechanical engineering - subject matter expert (night shift) autocad latex,1.0
INGLU,Web Development/Design,Delhi, ,web development design,1.0
Endeavor Academy,Electrical Engineering - Subject Matter Expert (Doubt Solving - Night Shift),Work From Home, ,electrical engineering - subject matter expert (doubt solving - night shift),1.0
Avadesh B,React Native Development And Testing,Work From Home,MEAN/MERN Stack  React Native ,react native development and testing mean mern stack react native,1.0
IESoft Technologies Private Limited,Full Stack Development,Work From Home,CSS  HTML  JavaScript  Node.js  ReactJS ,full stack development css html javascript node.js reactjs,0.61
SKIDS Health,SDE (MERN),Gurgaon,Amazon Web Server (AWS)  MEAN/MERN Stack  MongoDB  Node.js  ReactJS ,sde (mern) amazon web server (aws) mean mern stack mongodb node.js reactjs,0.92
NMS Games Private Limited,Unity Development,Work From Home,Animation  C#  REST API ,unity development animation c# rest api,1.0
IESoft Technologies Private Limited,Node.js Development,Work From Home,CSS  HTML  JavaScript  Node.js  ReactJS ,node.js development css html javascript node.js reactjs,0.61
Quantum IT,Laravel Development,Work From Home,AJAX  Bootstrap  CSS  HTML  JavaScript  jQuery  JSON  LARAVEL  PHP ,laravel development ajax bootstrap css html javascript jquery json laravel php,0.92
Omninos Technologies International Private Limited,PHP Development,Kharar,CodeIgniter  HTML  JavaScript  jQuery  LARAVEL  MySQL  PHP ,php development codeigniter html javascript jquery laravel mysql php,0.92
NextEdge Labs,Software Development - Web (Angular),Work From Home,Angular 7.0  Bootstrap  CSS  Dart  Flutter  HTML  JavaScript  Node.js ,software development - web (angular) angular 7.0 bootstrap css dart flutter html javascript node.js,0.92
Yapply LLC,"Game Development - Godot, GDevelop, And Unity",Work From Home,JavaScript  Unity 3D  Unity Engine ,game development - godot gdevelop and unity javascript unity 3d unity engine,0.92
Omninos Technologies International Private Limited,React Native Development,Ludhiana,.NET  JavaScript  Node.js ,react native development .net javascript node.js,0.92
Quantum IT,iOS App Development,Work From Home,iOS  JSON  Objective C  REST API  Swift  Xcode  XML ,ios app development ios json objective c rest api swift xcode xml,1.0
Quantum IT,PHP Backend Development,Work From Home,AJAX  Bootstrap  CSS  HTML  JavaScript  jQuery  JSON  LARAVEL  PHP ,php backend development ajax bootstrap css html javascript jquery json laravel php,0.92
Retranz Infolabs,Technical Support,Work From Home,MS-Excel  MS-Office  SQL ,technical support ms-excel ms-office sql,1.0
EG Allied Private Limited,WordPress Development,Work From Home, ,wordpress development,1.0
Omninos Technologies International Private Limited,Machine Learning,Kharar,Data Analytics  Data Science  Deep Learning  Machine Learning  Natural Language Processing (NLP)  Python  R Programming ,machine learning data analytics data science deep learning machine learning natural language processing (nlp) python r programming,1.0
IMG Global Infotech Private Limited,Backend Development,Jaipur,MySQL  Node.js  PHP ,backend development mysql node.js php,1.0
Upride Network Private Limited,Android App Development,Work From Home,Android  Firebase  Java  Kotlin  REST API  XML ,android app development android firebase java kotlin rest api xml,1.0
Cerebry,Content Coding (Python Development),Work From Home,Algorithms  Mathematics  Python ,content coding (python development) algorithms mathematics python,1.0
Cerebry,Backend Development,Work From Home,Algorithms  Data Structures  Django  Java ,backend development algorithms data structures django java,1.0
AlmaBetter,Game Development,Bangalore,JavaScript  Unity Engine ,game development javascript unity engine,0.92
Mayankal,ReactJS Development,Work From Home,Express.js  MongoDB  MySQL  Node.js  ReactJS  React Native ,reactjs development express.js mongodb mysql node.js reactjs react native,0.92
Rocket Llama Games,Unity Game Programming,Work From Home,C#  Unity 3D  Unity Engine ,unity game programming c# unity 3d unity engine,1.0
Colorsmart Enterprises,Matlab Development,Work From Home,MATLAB ,matlab development matlab,1.0
Nexondeck,3D Character Animation (Unity),Work From Home,3ds Max  Blender 3D  Unity 3D  Unity Engine ,3d character animation (unity) 3ds max blender 3d unity 3d unity engine,1.0
Blackcoffer,WordPress Development,Work From Home,Bootstrap  CSS  HTML  JavaScript  PHP  Search Engine Optimization (SEO)  Video Editing  WordPress ,wordpress development bootstrap css html javascript php search engine optimization (seo) video editing wordpress,0.92
Elephants Media Private Limited,Web Development (WordPress & ReactJS),Work From Home,ReactJS  WordPress ,web development (wordpress & reactjs) reactjs wordpress,0.92
XQuantum OPC Private Limited,Full Stack Development,Work From Home,Docker  FastAPI  Python  SQL ,full stack development docker fastapi python sql,1.0
